在访问印度期间他在新德里人居中心演出	1	印度	3	5
印度媒体批评澳大利亚将印度板球控制委员会（BCCI）主席和印度政府部长沙拉德·帕瓦尔推下讲台	0	澳大利亚	6	10
纽曼因与本·阿布鲁佐和马克西·安德森一起参加双鹰二号获得美国国会颁发的金质奖章	0	美国	28	30
这两个国家在中东问题上的合作被视为是两国关系的重大改善而此前两国在2003年入侵伊拉克问题上存在激烈分歧	0	中东	6	8
截至2000年加纳的主要出口产品是矿产和可可	0	加纳	7	9
自1998年以来荷兰歌曲首次以荷兰语演唱	0	荷兰	8	10
在德国占领挪威期间他于1942年1月13日至21日被关押在格里尼集中营	0	德国	1	3
11月私营广播公司RTL 4进行的一项民意调查显示86%的受调查者同意荷兰可能退出因为荷兰在过去的比赛中成绩不佳	0	荷兰	35	37
巴达拉奇代表意大利参加2008年北京夏季奥运会与队友维吉利奥·费特一起参加男子10米气手枪比赛	0	意大利	6	9
它呼吁黎巴嫩确立对其全部土地的主权并呼吁“外国势力”（以色列和叙利亚）撤出黎巴嫩停止干预黎巴嫩的内部政治	0	黎巴嫩	3	6
土耳其参加了2010年加拿大不列颠哥伦比亚省温哥华冬奥会	0	土耳其	0	3
1815年当列强在拿破仑战争后重组欧洲时在维也纳会议上波兰王国由法国附庸国华沙公国建立	0	波兰王国	27	31
阿尔及利亚政府于1795年承认美国但尚未建立正式外交关系	0	美国	15	17
起初霍罗斯是猎鹰之光之神他设定了邪恶之神与之战斗以控制埃及	0	埃及	27	29
它是根据福克兰群岛的调查绘制的地图并由英国南极地名委员会以Eliason机动雪橇命名Eliason机动雪橇于1942年在瑞典发明现在在加拿大制造自1950年起在加拿大北极使用自1960年起在南极使用	0	福克兰群岛	4	9
泰国也这样做在挪威在选举日出售酒精也是违法的	0	泰国	0	2
从那时起巴伊克一直是库尔德工人党的政治领袖负责该组织与伊朗的关系	0	伊朗	27	29
霍诺雷本人获得了王子的头衔只有在法国的保护下摩纳哥才避免了被西班牙完全占领	0	法国	16	18
南非队在50场比赛中为8个边门得了258分赫歇尔·吉布斯得了77分	0	南非	0	2
关于摩洛哥是否参加1968年墨西哥夏季奥运会有相互矛盾的数据	0	摩洛哥	2	5
冠军由瑞士夺得瑞士在决赛中以135击败瑞典	0	瑞典	19	21
在这次会议之前荷兰和印度尼西亚举行了另外三次高级别会议	0	印度尼西亚	10	15
LCI一直在南太平洋直到日本投降	0	日本	12	14
到目前为止蒙彼利埃获得的其他荣誉包括1929年和1990年的法兰西轿跑车冠军以及1999年的欧洲联盟国际托托杯冠军	0	蒙彼利埃	5	9
这是授予本次锦标赛的球员的并以新西兰前锋的名字命名这位新西兰前锋在比赛的最后几分钟赢得了全金冠军确保了85的胜利	0	新西兰	15	18
2008年9月也许是为了回应尼加拉瓜对格鲁吉亚分裂领土的支持俄罗斯提出加强与尼加拉瓜的关系并向尼加拉瓜提供援助帮助重建被飓风破坏的地区	0	尼加拉瓜	14	18
但甚至没有人知道这些三点最终确定的大致时间因为这确实需要印度的同意这是一个不可避免的事实	0	印度	28	30
1979年5月由于阿纳斯塔西奥·索莫扎·德拜尔政府一再侵犯人权墨西哥与尼加拉瓜断交	0	尼加拉瓜	35	39
1995年史密斯写了另一本关于乔丹和公牛队的书名为《第二次来临：迈克尔·乔丹奇怪的奥德赛》——从球场边到本垒再回到本垒	0	乔丹	15	17
总的来说他在联赛中总共打进了50多个进球出场次数超过150次并在2010年为委内瑞拉队首次亮相国际赛场	0	委内瑞拉	38	42
科特迪瓦、加纳和尼日尔晋级决赛	0	加纳	5	7
巴拿马将参加2013年7月19日至8月4日在西班牙巴塞罗那举行的2013年世界水上运动锦标赛	0	巴拿马	0	3
19世纪末新统一的意大利加入了这一集团	0	意大利	9	12
至少在961年当德国国王奥托一世第二次游行反对意大利王国时他任命赫尔曼为撒克逊人土地上的行政官（检察官里吉斯）	0	意大利王国	23	28
自1960年8月1日独立以来贝宁一直是西非民主的典范	0	贝宁	14	16
他在伦敦巴特西的伊曼纽尔学校接受教育曾为英国U23级和威尔士划船	0	威尔士	27	30
以色列有自己的阿富汗也就是叙利亚还有自己的伊拉克也就是伊朗	0	伊朗	27	29
从1986年到2008年科尔宾代表巴巴多斯参加了11届国际象棋奥林匹克运动会分别于1986年、1990年、1998年和2000年参加了第一局比赛	0	巴巴多斯	17	21
伊格纳西奥“蒂基”在奥斯蒂参加了西班牙历史上唯一一次出现在世界杯上的比赛	0	西班牙	16	19
因此众神选择了Papyrus一个年轻的渔夫他必须找到通往Ombos的秘密入口释放神荷鲁斯恢复埃及的和平	0	埃及	46	48
这部电影以印度的紧急情况为背景讲述了20世纪70年代三名年轻人的故事当时印度正在经历巨大的社会和政治变革	0	印度	5	7
在经历了2005年夏天意大利和瑞士之间的法沃拉之旅之后	0	瑞士	15	17
自2003年8月以来巴基斯坦断断续续地对这些基地组织成员进行了武装行动但收效甚微	0	巴基斯坦	10	14
她获得了比利时、捷克斯洛伐克、爱沙尼亚、日本、拉脱维亚、立陶宛、罗马尼亚以及俄罗斯帝国等国政府颁发的人道主义工作奖	0	日本	20	22
自20世纪80年代以来中国和泰国都饲养老虎目的是出售老虎的部分器官以满足对虎骨的需求	0	泰国	14	16
波洛茨克在位期间曾与基辅和诺夫哥罗德交战	0	波洛茨克	0	4
玻利维亚于1927年5月1日举行议会选举选出新的国民议会	0	玻利维亚	0	4
都柏林在那次比赛中提供了对手然而胜利归于高威克拉克获得了令人垂涎的全爱尔兰奖牌	0	都柏林	0	3
1915年意大利参战后巴尔博作为军官候选人加入意大利皇家陆军（Regio Esercito）并在阿尔皮尼（山区）营“瓦尔费拉”服役然后于1917年10月16日自愿参加飞行训练	0	意大利	5	8
在此期间墨西哥虽然最初是索莫扎的支持者但很快改变了立场向桑地诺教徒提供了支持	0	墨西哥	4	7
随后他参加了2005年在荷兰举行的国际足联世界青年锦标赛帮助哥伦比亚晋级16强最终输给冠军阿根廷	0	哥伦比亚	30	34
后来从法国订购的包括阿卢埃特II型、阿卢埃特III型和瞪羚直升机以及福加·马切斯特和达索多尼尔阿尔法喷气式教练机	0	法国	3	5
他是以色列和布里奇特的儿子	0	以色列	2	5
苏联想要扩大他们的影响力；美国打算侵占非洲大陆的自然财富；前帝国寻求复兴其摇摇欲坠的殖民权力；年轻的国家用一个理想武装起来捍卫他们新赢得的独立：国际主义	0	美国	13	15
他在第二局打出了有用的43分当时新西兰队7投103中帮助球队避免了失败	0	新西兰	16	19
圣地亚哥—提华纳起源于1542年当时葡萄牙代表西班牙帝国对这片土地进行了勘探	0	葡萄牙	18	21
1501年萨非征服巴库后苏菲教团被驱逐	0	巴库	9	11
维多利亚在骑士团成立至1901年1月22日去世期间任命了19名大十字架骑士外加28名荣誉大十字架骑士；在这19人中有6人是她的亲生子女、孙子女或其他近亲另有7人是已经拥有贵族身份的人	0	维多利亚	0	4
有谁知道有任何档案记录了摩洛哥和以色列之间政治立场的某些变化来回答这个问题？	0	以色列	16	19
1821年墨西哥从西班牙获得独立尼加拉瓜成为第一个墨西哥帝国的一部分	0	墨西哥	5	8
这是罗马尼亚授予的第六项最高荣誉仅次于忠诚服务勋章领先于1989年12月罗马尼亚革命胜利勋章	0	罗马尼亚	2	6
她于2000年6月16日得到美国的确认并于2000年8月3日收到委托书	0	美国	14	16
霍诺雷本人获得了王子的头衔只有在法国的保护下摩纳哥才避免了被西班牙完全占领	0	摩纳哥	22	25
1947年印度独立后班加罗尔发展成为公共部门重工业的制造中心特别是航空航天、电信、机床、重型设备、航天和国防	0	印度	5	7
虽然官方的申办程序尚未开始但澳大利亚、日本、新西兰和泰国已经确认他们有兴趣举办这项赛事	0	日本	19	21
2012年1月意大利将卡西酮和所有结构衍生类似物（包括焦戊酮类似物）列为麻醉品	0	意大利	7	10
1919年《凡尔赛条约》对某些武器的制造进行了限制禁止德国制造某些类型的武器例如轻型自动武器（被指定为枪管超过4英寸（102毫米）的SMG和弹匣超过8发）	0	德国	27	29
也许特定地点或服务使用三个阶段但澳大利亚和新西兰都使用国际公认的六阶段USAR模式（澳大利亚应急管理手册35第114节（第6页和第7页）httpwww艾玛州长auwwwemawebrwpattachnsfVAP（3273 BD3 F76 A7 A5 DEDAE36942 A54 D7 D90）~手册35通用数据字典pdffileManual35通用附加附件pdf（371 MB））	0	澳大利亚	16	20
布宜诺斯艾利斯一直在那里直到1941年俱乐部脱离协会	0	布宜诺斯艾利斯	0	7
采取这一行动是为了确保舰队不会落入德国之手因为纳粹打败了法国并占领了巴黎	0	法国	28	30
这部电影是在亚齐拍摄的并报道了该省为从印度尼西亚独立而进行的斗争	0	印度尼西亚	19	24
1732年西班牙夺回了这座城市	0	西班牙	5	8
香港和日本取得了进步但都没有取得任何进展他们在下一轮分别输给韩国和以色列	0	香港	0	2
法国沦陷德国后吉拉多为自由法国的地下力量建立了一个工厂	0	德国	4	6
西班牙队以2012年黄金海岸七人赛的一记重拳拉开了201213赛季IRB 7 s系列赛的序幕击败汤加、威尔士和英格兰队获得第九名并赢得了世界杯	0	西班牙	0	3
阿尔及利亚于1967年6月6日断绝了与美国的外交关系那是1967年6月阿拉伯以色列战争之后	0	阿尔及利亚	0	5
3月28日：约阿希姆·穆拉特对奥地利发动那不勒斯战争	0	奥地利	15	18
墨西哥计划参加2014年在法国诺曼底举行的世界马术运动会	0	墨西哥	0	3
美国还获得了赢得2008年奥运会男子篮球锦标赛的自动泊位	0	美国	0	2
基尔条约没有成功挪威宣布独立后瑞典试图以武力恢复主权	0	瑞典	15	17
后来集中营里的孩子们代表了几乎所有被德国占领的欧洲国家	0	德国	18	20
1956年苏丹获得独立并对犹太社区怀有敌意	0	苏丹	5	7
直到1962年阿尔及利亚一直处于法国的统治之下	0	阿尔及利亚	7	12
冈比亚参加了2010年10月3日至14日在印度德里举行的2010年英联邦运动会	0	冈比亚	0	3
在他的统治下波洛茨克试图与基辅保持距离	0	基辅	13	15
十名当选议员是从九个区组成的九个选区选出的除路易港选出两名议员外所有区选出一名议员	0	路易港	22	25
正在讨论另一部宪法的提案以允许土耳其遵守加入欧盟的政治标准	0	土耳其	15	18
作为回报英国同意在奥斯曼帝国和俄罗斯之间的任何冲突中保持中立	0	英国	4	6
土耳其尽管已经晋级但仍然参加了欧洲锦标赛	0	土耳其	0	3
尽管带领墨西哥队夺得2015年康卡夫金杯但在与一名记者发生身体冲突后他被解雇为国家队教练	0	墨西哥	4	7
突尼斯和阿尔及利亚晋级决赛	0	突尼斯	0	3
6月9日瑞典通过了一项法律禁止向15岁以下儿童传播暴力视频电影甚至禁止成年人观看带有“残忍和虐待狂暴力”的视频电影但不是通过法律禁止	0	瑞典	4	6
杰米尔·巴伊克指责土耳其保护和支持伊斯兰国	0	土耳其	9	12
2006年紫金有49家黄金产量为28吨采矿生产的黄金达到20吨70吨分别占20占中国黄金总产量的53%和11%同年中国51%的黄金来自采矿业	0	中国	40	42
与法国队一起她在2004年夏季奥运会上获得了团体铜牌并获得了三次团体世界冠军（2005年、2007年和2008年）	0	法国	1	3
Ramat Magshimim（希伯来语：被称为“雨水浸泡的高地”）是以色列的定居点位于南部戈兰高地的moshav由以色列管理	0	以色列	35	38
他在对阵巴基斯坦的比赛中以89*的权重入选此前他在西区对阵巴基斯坦的比赛中得分	0	巴基斯坦	4	8
西班牙队在2012届13轮世界杯系列赛中被提升为核心队在2012香港七队的排位赛中表现出色	0	西班牙	0	3
20世纪初葡萄牙击败了最后一批土著酋长并建立了对该领土的有效控制后不久出现了一些有兴趣将莫桑比克从葡萄牙殖民统治中解放出来并使其成为一个独立国家的团体	0	葡萄牙	5	8
如果前哥伦比亚时代的美洲都使用烟草为什么西班牙会有垄断	0	西班牙	20	23
1939年9月1日德国入侵波兰后阿图尔带着妻子和孩子逃到他妻子在东部的家乡布查茨小镇（现在的乌克兰布赫）	0	德国	9	11
2006年8月15日马耳他队以30输给斯洛伐克队法尔松也为马耳他队赢得了一次出场机会	0	斯洛伐克	19	23
1989年9月18日她被租借给巴西海军然后卖给了巴西在那里她充当了破坏者帕拉（D 27）直到2008年11月12日她退役并被保留下来	0	巴西	15	17
2012年5月31日他在芝加哥士兵球场与墨西哥队的友谊赛中为波斯尼亚和黑塞哥维那队首次亮相国际赛场由于斯托扬·范兰杰（Stojan Vranješ）的灾难性失误波斯尼亚和黑塞哥维那队在比赛最后几分钟以21输给了墨西哥队	0	波斯尼亚和黑塞哥维那	30	40
法国队被记录为2比0获胜但在积分榜上没有得分	0	法国	0	2
台湾于1956年通过《最低工资法》首次规定了最低工资	0	台湾	0	2
葡萄牙派出了600名士兵组成的远征队大部分来自殖民地圣多美由弗朗西斯科·德·古韦亚·索托马约尔指挥	0	葡萄牙	0	3
他在日本的战俘营里呆了3年多在1942年2月新加坡沦陷期间被捕	0	新加坡	22	25
印度经济自由化后商业软件服务公司在班加罗尔成立并取得成功从而促进了印度信息技术产业的发展	0	印度	0	2
工厂老板弗朗西斯科·罗曼尼（Santiago Gómez Cou）的到来引发了一场冲突他是一位精打细算的极权主义者崇拜美国	0	美国	59	61
特恩布尔在1952年至1953年的英国和法国袋鼠巡回赛中被选中面对澳大利亚但由于受伤不得不退出并在1954年的英国狮子队澳大利亚和新西兰巡回赛中参加了两场非测试赛之后因伤提前返回	0	澳大利亚	33	37
2012年他在牙买加完成了自己的国际比赛处子秀	0	牙买加	7	10
1882年澳大利亚队对英格兰队的比赛当时被认为是澳大利亚殖民地的一支联合球队在英格兰进行的另一次一流板球巡回赛的一部分但澳大利亚队和英格兰队之间安排的比赛后来被接受为一场测试赛	0	英格兰	11	14
24  2%的柏林人投了赞成票但法定人数要求达到25%或更多	0	柏林	7	9
得分和成绩排名第一的是澳大利亚队的进球数	0	澳大利亚	11	15
由于9月11日的袭击美国开始实施一系列措施以加强其边界和身份证件的安全	0	美国	10	12
美国队在首轮比赛中以90比86输给西班牙队但随后又赢得了接下来的八场比赛	0	美国	0	2
奥兰多早有16到0的优势但允许旧金山领先	0	旧金山	15	18
尽管该协定对所有国家开放但乌克兰是唯一批准该协定但未批准《国际刑事法院罗马规约》的国家	0	乌克兰	13	16
然而不久之后文化大革命占领了中国控制了生活的许多方面有效地阻止了许多电影的制作	0	中国	14	16
科林斯战争是古希腊斯巴达与四个盟国——底比斯、雅典、科林斯和阿尔戈斯之间的军事冲突最初由波斯支持	0	波斯	44	46
多米尼克·劳埃德沃尔特（1981年6月17日出生于伦敦哈罗区）是代表英格兰的职业壁球运动员	0	英格兰	34	37
1960年索马里脱离英国和意大利独立后他成为新组建的索马里国民军的一名军官	0	英国	10	12
尼泊尔进一步认为邻国的决定是霸权主义的一步	0	尼泊尔	0	3
会议结束时荷兰同意将主权移交给印度尼西亚合众国	0	印度尼西亚合众国	15	23
奥兰多早有16到0的优势但允许旧金山领先	0	奥兰多	0	3
科索沃于2008年2月17日宣布脱离塞尔维亚独立挪威于2008年3月28日承认科索沃独立	0	塞尔维亚	18	22
从1941年到1943年克罗地亚还是意大利的傀儡国	0	克罗地亚	12	16
1991年3月3日被伊拉克释放的贝里尼和科基奥龙是整个战争中唯一被俘的意大利战俘	0	伊拉克	10	13
美国和法国在同一天正式承认阿尔及利亚	0	美国	0	2
在那场比赛中他每场比赛都首发只有波佐在第一场四分之一决赛对阵西班牙的比赛中休息	0	西班牙	30	33
2015年印度总理访华后印度和中国同意在利普列赫开设一个贸易站但尼泊尔并不欢迎	0	印度	5	7
战争初期纳特和他的同时代人在RASC中相对稳定直到他们在投降日本前几天被运到新加坡	0	日本	30	32
1820年或1821年英格兰一家从伦敦的家搬到了加的夫	0	英格兰	11	14
法国政府和苏联一起组织、训练和武装了一大群西班牙人他们早些时候从集中营中解放出来自1939年西班牙内战结束时西班牙共和党人越过西班牙法国边界以来集中营一直被人民阵线关押	0	苏联	5	7
1938年的电影《飞行员卢西亚诺·塞拉》（Luciano SerraPilot1938）中他扮演了一位第一次世界大战退伍军人他在阿比西尼亚战争期间回到意大利为意大利而战	0	意大利	75	78
Benjamin Khor Cheng Jie（1993年2月16日出生于英国）是代表马来西亚的双陷阱射击运动员	0	马来西亚	43	47
自革命结束以来墨西哥和尼加拉瓜在救灾、移民和发展等许多项目上进行了合作	0	尼加拉瓜	11	15
我怀疑乔丹去了那里这个维基页面链接到了错误的学校	0	乔丹	3	5
挪威在普里什蒂纳有一个大使馆而科索沃则暗示将把挪威纳入第二轮大使馆开放的行列	0	科索沃	15	18
莱恩·凯西在1978年赫尔金斯敦流浪者队对阵法国、威尔士、1980年对阵威尔士、1981年对阵法国和威尔士的比赛中为英格兰赢得了比赛并在1977年赫尔金斯敦流浪者队对阵法国、新西兰和澳大利亚的橄榄球联赛世界杯上为英国赢得了比赛1978年对阵澳大利亚1979年在布拉德福德北部对阵澳大利亚（2场比赛）和新西兰（3场比赛）1980年在赫尔金斯顿流浪者队对阵新西兰（3场比赛）1983年对阵法国（2场比赛）	0	威尔士	25	28
2008年美国经济增长急剧下滑	0	美国	5	7
分数和结果将波斯尼亚和黑塞哥维那的进球数排在第一位	0	波斯尼亚和黑塞哥维那	6	16
5月3日：俄罗斯和奥地利之间的条约4月21日5月3日在维也纳签署	0	奥地利	9	12
2015年6月奥多德在洲际杯对阵巴布亚新几内亚的比赛中首次代表荷兰队出场巴布亚新几内亚队拥有一流的地位	0	巴布亚新几内亚	16	23
故事开始于20世纪末的恐怖主义日本是世界上最大的经济体	0	日本	15	17
中国和菲律宾对该浅滩拥有相互竞争的主权	0	中国	0	2
然而阿尔瓦罗显然允许葡萄牙在罗安达定居1575年保罗·迪亚斯·德·诺瓦瓦率领他的部队抵达时安哥拉的殖民地诞生了	0	葡萄牙	10	13
杰克逊还要求Uddin在“就是这样”音乐会期间在他在英国租用的豪宅内为他建造并运营一个录音室并设计制作他与Uddin的下一张唱片	0	杰克逊	0	3
由于黎巴嫩在1919年至1943年期间由法国作为国际联盟授权的国家进行管理法国长期以来对黎巴嫩有着特殊的兴趣	0	法国	20	22
这个故事是从苏俄战狗施东的角度和理解写成的	0	苏俄	6	8
尼泊尔现在打算通过与中国和印度的外交手段解决这一问题	0	中国	10	12
佩雷拉的职业生涯始于玻利维亚队奥林特·彼得罗莱罗然后在2006年加入查卡里塔青年队之前他在乌拉圭为利物浦和佩纳罗尔效力	0	利物浦	49	52
我喜欢巴基斯坦的进攻场	0	巴基斯坦	3	7
此后哥伦比亚支持巴里卡潘入侵并参加了1945年在南中国海进行的反舰扫荡	0	哥伦比亚	2	6
波洛茨克在位期间曾与基辅和诺夫哥罗德交战	0	诺夫哥罗德	13	18
中华人民共和国成立后文化大革命前他被誉为社会主义文化的高官之一	0	中华人民共和国	0	7
1940年德国在不列颠之战中迎战英国	0	德国	5	7
新西兰大学被分为四所大学（奥塔哥、坎特伯雷、奥克兰和瑞士维多利亚大学）和坎特伯雷和梅西的两所农业大学	0	坎特伯雷	17	21
该中队的早期任务之一是支援法国的皇家空军部队一旦法国沦陷他们将不可避免地撤离	0	法国	13	15
一年后的1839年墨西哥和尼加拉瓜建立了外交关系	0	墨西哥	9	12
在四分之一决赛中美国队对阵法国队法国队在下半场晚些时候以八分领先但美国队夺回了领先优势以十一分的优势晋级半决赛	0	法国	13	15
郭敬明在2007年被租借到中国之前曾效力于广州医药青年队	0	中国	13	15
莫索为西班牙青年队出场13次	0	西班牙	3	6
2013年4月费尔南多入选百慕大世界板球联赛第三分区14人意大利队	0	意大利	29	32
2010年海地地震发生后联合国教科文组织的世界遗产计划正在帮助海地评估损失	0	海地	5	7
与此同时统一的德国人在757击败了澳大利亚人获得铜牌美国在2000年创造了一项奥运会的旧记录比这记录低了35秒45秒百分之一秒	0	美国	26	28
如果以色列得逞它将在2010年前征服叙利亚	0	以色列	2	5
今天IMSL是亚洲管理组织协会（AAMO）的正式成员也是斯里兰卡在那里的唯一代表	0	斯里兰卡	28	32
牙买加的被捕是1655年英国和西班牙之间爆发战争的原因	0	牙买加	0	3
1990年墨西哥与哥伦比亚、巴拿马和委内瑞拉政府一起成立了Contadora集团试图调解当时困扰该地区的中美洲危机	0	墨西哥	5	8
在英格兰巡回赛之前阿根廷主办了南非队以33比37输掉了比赛	0	阿根廷	9	12
该地区2012年的人口为4922723人是美国和墨西哥共享的最大的两国城市是美国和另一个国家共享的第二大城市（仅次于底特律温莎）也是世界第四大城市	0	美国	21	23
法国沦陷德国后吉拉多为自由法国的地下力量建立了一个工厂	0	法国	0	2
利用这一事实雅典在战争后期发动了几次海军战役夺回了一些岛屿这些岛屿在公元前5世纪曾是原始雅典帝国的一部分	0	雅典	6	8
俄罗斯是苏联的唯一继承者因此自《贝拉维扎协定》签署以来俄罗斯与俄罗斯的关系自然一直在继续	0	苏联	4	6
1928年约克入选新南威尔士州和澳大利亚队	0	约克	5	7
如果没有外国的帮助加纳几乎不可能成为一个繁荣的国家因为他们不能出口别人买不到的东西	0	加纳	9	11
约克主要作为一名替补前锋代表澳大利亚参加了对英国的两场测试赛	0	约克	0	2
在他的整个职业生涯中他创作了许多基于现代阿塞拜疆的《梅哈纳》作品	0	阿塞拜疆	20	24
不过这一决定被证明是一个糟糕的决定因为澳大利亚队在80场比赛中轻易地以微弱的63分被淘汰出局只花了2个多小时	0	澳大利亚	19	23
她的职位旨在提高公众对欧盟和土耳其加入欧盟进程的认识	0	土耳其	14	17
这标志着独立的多米尼加共和国的诞生	0	多米尼加共和国	7	14
在那个赛季西班牙参加了2012年苏格兰七人赛进入了碗赛决赛2012年伦敦七人赛进入了杯赛四分之一决赛	0	西班牙	5	8
康塞普西翁·博纳·埃尔南德斯（1824年12月6日至1901年7月2日）是一名幼儿园教师和多米尼加共和国独立运动者	0	多米尼加共和国	45	52
美国以红云命名这场战争红云是奥格拉拉·拉科塔（Oglala Lakota）的一位著名酋长他领导他的追随者反对美国的存在s该地区有军队	0	美国	0	2
墨西哥有一支由四名运动员组成的队伍获得了跳远比赛的资格	0	墨西哥	0	3
事实上如果要相信《摩纳哥历史》一文的话西班牙的亲密盟友兰迪几乎放弃了这个羽翼未丰的国家	0	西班牙	19	22
埃塞俄比亚在2004年雅典奥运会上首次参加残奥会	0	埃塞俄比亚	0	5
1939年至1941年苏联入侵波兰、芬兰占领拉脱维亚、爱沙尼亚、立陶宛和罗马尼亚的贝萨拉比亚地区	0	苏联	11	13
德塞特从未得到美国的正式承认因此犹他州的领土是由美国政府组织的s取而代之的是国会	0	美国	7	9
孙海波（1983年3月25日出生1983年3月25日出生）是中国男子前举重运动员曾参加105公斤级比赛并代表中国参加国际比赛	0	中国	30	32
1940年7月在法国军舰拒绝英国最后通牒投降后英国在港口炮击了法国军舰	0	英国	14	16
墨西哥和尼加拉瓜是两个拉丁美洲国家它们有着共同的历史都是西班牙帝国的殖民地	0	墨西哥	0	3
拉克索诺是伊朗核计划的支持者	0	伊朗	5	7
南越唯一参加的世界杯是1974年在西德举行的世界杯	0	南越	0	2
应美国的请求古巴被排除在外	0	美国	1	3
1915年3月旺根海姆派帕武斯前往柏林支持帕武斯的计划即德国支持布尔什维克抵抗俄罗斯帝国	0	德国	28	30
新加坡根据国际奥委会国家代码SIN参加了2006年多哈亚运会	0	新加坡	0	3
巴塞尔成立于1893年在圣彼得堡举行主场比赛雅各布公园目前是瑞士最大的俱乐部体育场	0	巴塞尔	0	3
古埃及是非洲东北部的一个文明集中在尼罗河中下游在公元前二千年新王国时期达到最大程度	0	古埃及	0	3
据叙利亚称2004年人口普查中肯尼亚人口为1876人	0	叙利亚	1	4
卢克与乔丹恶意对峙乔丹还得到一个刻有首字母“LH”的USB接口	0	乔丹	3	5
它在闪电战中保卫了伦敦在D日降落在朱诺海滩并保卫了比利时城市免受V1飞行炸弹的袭击	0	伦敦	9	11
在1920年于比利时安特卫普举行的夏季奥运会上约翰松代表芬兰参赛获得铜牌落后于乔尼·米耶和乌尔霍·佩尔顿领先于朱利叶斯·萨里斯托芬兰获得了前四名	0	芬兰	28	30
总部位于荷兰的达门集团造船厂负责为南非和美国制造达门斯坦巡逻船4708	0	美国	20	22
法国队主教练伯纳德·拉波特（Bernard Laporte）承认韦德拉奥戈在俱乐部表现出色2007年他参加了法国年中测试队与新西兰全黑队的两场系列赛	0	法国	0	2
1655年英国人在加勒比海进行了一次两栖探险入侵牙买加从西班牙攻占了该岛	0	西班牙	28	31
比卡内尔州成立于15世纪一直持续到1947年印度独立后不久	0	印度	22	24
伦巴第人入侵意大利遭到拜占庭帝国的反对直到8世纪中叶拜占庭帝国一直控制着半岛的大部分地区	0	拜占庭帝国	11	16
战争的直接原因是希腊西北部的局部冲突底比斯和斯巴达都介入了冲突	0	斯巴达	22	25
代表日本的调查人员指出可能是错误的滑翔道信号导致了这次坠机	0	日本	2	4
截至2016年5月1日贝哈拉诺为玻利维亚队出场16次并代表玻利维亚参加了5场世界杯资格赛	0	玻利维亚	16	20
尼加拉瓜在20世纪80年代一直投票支持共产主义事业	0	尼加拉瓜	0	4
在答复中新西兰队在46场比赛中全场获得206分丹尼尔·维托里得到79分	0	新西兰	4	7
凯图宁被选中代表芬兰参加2002年盐湖城冬奥会	0	芬兰	8	10
塞缪尔·亚当斯是马萨诸塞州的政治家、政治家、作家和政治哲学家也是美国的开国元勋之一	0	美国	32	34
2007年5月19日印度尼西亚推出了自己版本的交易或无交易名为交易或无交易印度尼西亚由Tantowi Yahya主持他曾是该国版本《谁想成为百万富翁？》的主持人	0	印度尼西亚	10	15
2015年印度总理访华后印度和中国同意在利普列赫开设一个贸易站但尼泊尔并不欢迎	0	尼泊尔	32	35
这是2010年冬奥会女子冰球锦标赛B组芬兰队和中国队的第4场比赛	0	中国	23	25
在他的统治下波洛茨克试图与基辅保持距离	0	波洛茨克	6	10
1941年7月纳粹德国袭击苏联后布扎茨被德国人接管	0	纳粹德国	7	11
米佐协议米佐国民阵线与印度于1986年6月30日签署的协议	0	印度	11	13
墨西哥将有八名运动员参加跳跃、准盛装舞步和缰绳比赛	0	墨西哥	0	3
然而她建议他们去了但由于与以色列的政治问题他们没有玩	0	以色列	13	16
在欧洲比赛的最初几年德国被分为西德和东德	0	德国	10	12
在保加利亚与苏联停战并对德国宣战之后	0	保加利亚	1	5
奥地利在1936年柏林夏季奥运会的C2 10000米项目中也获得第四名	0	奥地利	0	3
自1996年奥运会首次举办以来美国队连续第三次蝉联冠军中国队以7分55秒的亚洲纪录获得银牌令人惊讶97 	0	中国	27	29
在半决赛中击败加拿大队后他们又与西班牙队进行了一场争夺冠军的复赛	0	加拿大	7	10
众议院投票决定与纳粹德国断绝关系参议院不讨论该项目	0	纳粹德国	8	12
在这个职位上他实际上是芬兰在台湾的实际代表	0	芬兰	11	13
六个国家弃权：阿尔及利亚、巴西、中国、巴基斯坦、菲律宾和俄罗斯	0	菲律宾	24	27
1995年乌干达是第一个在其宪法中承认手语的国家	0	乌干达	5	8
被也门或也门当局处决的人	0	也门	1	3
黎巴嫩已要求以色列撤出有争议的沙巴阿农场和KfarShouba山丘并遣返在以色列的黎巴嫩被拘留者作为全面执行第1559号决议的条件该决议包括解散真主党军事派别	0	以色列	6	9
因此俄罗斯、瑞士、葡萄牙、意大利、西班牙、罗马尼亚、波兰和法国准备为本赛季最负盛名的比赛之一而战这场比赛正是利哈切夫所在的球队在罗马举行的最后一场比赛中提高的	0	瑞士	6	8
据《柳叶刀》报道2013年安道尔的预期寿命为81岁是世界上最高的	0	安道尔	13	16
1851年他主持了一个委员会起草了西班牙民法典草案其中大部分由加西亚·戈耶纳撰写	0	西班牙	17	20
他还要求国际观察员研究土耳其对IS武装分子的轰炸袭击	0	土耳其	11	14
王国的建立造成了波兰土地的分割国家被俄罗斯、奥地利和普鲁士分割	0	奥地利	22	25
如果土耳其获得第六名或更高的成绩排名第七的球队也将获得资格	0	土耳其	2	5
西萨摩亚脱离新西兰独立	0	西萨摩亚	0	4
